Banner;Index;Item;Item Type;Item Rarity;Date
Novice;1;Magic Guide;Weapon;3;2020-09-28T18:41:28Z
Novice;2;Emerald Orb;Weapon;3;2020-09-28T18:41:28Z
Novice;3;Bloodtainted Greatsword;Weapon;3;2020-09-28T18:41:28Z
Novice;4;Magic Guide;Weapon;3;2020-09-28T18:41:28Z
Novice;5;Slingshot;Weapon;3;2020-09-28T18:41:28Z
Novice;6;Cool Steel;Weapon;3;2020-09-28T18:41:28Z
Novice;7;Keqing;Character;5;2020-09-28T18:41:28Z
Novice;8;Noelle;Character;4;2020-09-28T18:41:28Z
Novice;9;Magic Guide;Weapon;3;2020-09-28T18:41:28Z
Novice;10;Harbinger of Dawn;Weapon;3;2020-09-28T18:41:28Z
Novice;11;Thrilling Tales of Dragon Slayers;Weapon;3;2020-09-28T19:43:36Z
Novice;12;Cool Steel;Weapon;3;2020-09-28T19:43:36Z
Novice;13;Black Tassel;Weapon;3;2020-09-28T19:43:36Z
Novice;14;Sharpshooter's Oath;Weapon;3;2020-09-28T19:43:36Z
Novice;15;Slingshot;Weapon;3;2020-09-28T19:43:36Z
Novice;16;Magic Guide;Weapon;3;2020-09-28T19:43:36Z
Novice;17;Raven Bow;Weapon;3;2020-09-28T19:43:36Z
Novice;18;Beidou;Character;4;2020-09-28T19:43:36Z
Novice;19;Bloodtainted Greatsword;Weapon;3;2020-09-28T19:43:36Z
Novice;20;Emerald Orb;Weapon;3;2020-09-28T19:43:36Z
Permanent;1;Thrilling Tales of Dragon Slayers;Weapon;3;2020-09-29T09:35:45Z
Permanent;2;Sharpshooter's Oath;Weapon;3;2020-09-29T09:35:45Z
Permanent;3;Cool Steel;Weapon;3;2020-09-29T09:35:45Z
Permanent;4;Slingshot;Weapon;3;2020-09-29T09:35:45Z
Permanent;5;Harbinger of Dawn;Weapon;3;2020-09-29T09:35:45Z
Permanent;6;Bloodtainted Greatsword;Weapon;3;2020-09-29T09:35:45Z
Permanent;7;Ferrous Shadow;Weapon;3;2020-09-29T09:35:45Z
Permanent;8;Sharpshooter's Oath;Weapon;3;2020-09-29T09:35:45Z
Permanent;9;Favonius Codex;Weapon;4;2020-09-29T09:35:45Z
Permanent;10;Harbinger of Dawn;Weapon;3;2020-09-29T09:35:45Z
Permanent;11;Bloodtainted Greatsword;Weapon;3;2020-09-29T18:31:08Z
Permanent;12;Raven Bow;Weapon;3;2020-09-29T18:31:08Z
Permanent;13;Slingshot;Weapon;3;2020-09-29T18:31:08Z
Permanent;14;Slingshot;Weapon;3;2020-09-29T18:31:08Z
Permanent;15;Sharpshooter's Oath;Weapon;3;2020-09-29T18:31:08Z
Permanent;16;Skyrider Sword;Weapon;3;2020-09-29T18:31:08Z
Permanent;17;Black Tassel;Weapon;3;2020-09-29T18:31:08Z
Permanent;18;Noelle;Character;4;2020-09-29T18:31:08Z
Permanent;19;Skyrider Sword;Weapon;3;2020-09-29T18:31:08Z
Permanent;20;Sharpshooter's Oath;Weapon;3;2020-09-29T18:31:08Z
Permanent;21;Magic Guide;Weapon;3;2020-09-30T19:18:15Z
Permanent;22;Emerald Orb;Weapon;3;2020-09-30T19:18:15Z
Permanent;23;Cool Steel;Weapon;3;2020-09-30T19:18:15Z
Permanent;24;Dragon's Bane;Weapon;4;2020-09-30T19:18:15Z
Permanent;25;Sharpshooter's Oath;Weapon;3;2020-09-30T19:18:15Z
Permanent;26;Slingshot;Weapon;3;2020-09-30T19:18:15Z
Permanent;27;Black Tassel;Weapon;3;2020-09-30T19:18:15Z
Permanent;28;Thrilling Tales of Dragon Slayers;Weapon;3;2020-09-30T19:18:15Z
Permanent;29;Harbinger of Dawn;Weapon;3;2020-09-30T19:18:15Z
Permanent;30;Emerald Orb;Weapon;3;2020-09-30T19:18:15Z
Permanent;31;Harbinger of Dawn;Weapon;3;2020-10-01T22:17:10Z
Permanent;32;Thrilling Tales of Dragon Slayers;Weapon;3;2020-10-01T22:17:10Z
Permanent;33;Sacrificial Sword;Weapon;4;2020-10-01T22:17:10Z
Permanent;34;Emerald Orb;Weapon;3;2020-10-01T22:17:10Z
Permanent;35;Slingshot;Weapon;3;2020-10-01T22:17:10Z
Permanent;36;Slingshot;Weapon;3;2020-10-01T22:17:10Z
Permanent;37;Raven Bow;Weapon;3;2020-10-01T22:17:10Z
Permanent;38;Harbinger of Dawn;Weapon;3;2020-10-01T22:17:10Z
Permanent;39;Debate Club;Weapon;3;2020-10-01T22:17:10Z
Permanent;40;Skyrider Sword;Weapon;3;2020-10-01T22:17:10Z
