Banner;Index;Item;Item Type;Item Rarity;Date
Novice;1;Emerald Orb;Weapon;3;2020-10-22T23:36:22Z
Novice;2;Raven Bow;Weapon;3;2020-10-22T23:36:22Z
Novice;3;Bloodtainted Greatsword;Weapon;3;2020-10-22T23:36:22Z
Novice;4;Sharpshooter's Oath;Weapon;3;2020-10-22T23:36:22Z
Novice;5;Debate Club;Weapon;3;2020-10-22T23:36:22Z
Novice;6;Black Tassel;Weapon;3;2020-10-22T23:36:22Z
Novice;7;Debate Club;Weapon;3;2020-10-22T23:36:22Z
Novice;8;Noelle;Character;4;2020-10-22T23:36:22Z
Novice;9;Raven Bow;Weapon;3;2020-10-22T23:36:22Z
Novice;10;Ferrous Shadow;Weapon;3;2020-10-22T23:36:22Z
Novice;11;Emerald Orb;Weapon;3;2020-10-22T23:50:03Z
Novice;12;Sharpshooter's Oath;Weapon;3;2020-10-22T23:50:03Z
Novice;13;Harbinger of Dawn;Weapon;3;2020-10-22T23:50:03Z
Novice;14;Ferrous Shadow;Weapon;3;2020-10-22T23:50:03Z
Novice;15;Ferrous Shadow;Weapon;3;2020-10-22T23:50:03Z
Novice;16;Debate Club;Weapon;3;2020-10-22T23:50:03Z
Novice;17;Slingshot;Weapon;3;2020-10-22T23:50:03Z
Novice;18;Fischl;Character;4;2020-10-22T23:50:03Z
Novice;19;Chongyun;Character;4;2020-10-22T23:50:03Z
Novice;20;Slingshot;Weapon;3;2020-10-22T23:50:03Z
Permanent;1;Emerald Orb;Weapon;3;2020-10-29T11:16:37Z
Permanent;2;Slingshot;Weapon;3;2020-10-29T11:16:37Z
Permanent;3;Emerald Orb;Weapon;3;2020-10-29T11:16:37Z
Permanent;4;Thrilling Tales of Dragon Slayers;Weapon;3;2020-10-29T11:16:37Z
Permanent;5;Emerald Orb;Weapon;3;2020-10-29T11:16:37Z
Permanent;6;Harbinger of Dawn;Weapon;3;2020-10-29T11:16:37Z
Permanent;7;Thrilling Tales of Dragon Slayers;Weapon;3;2020-10-29T11:16:37Z
Permanent;8;Ferrous Shadow;Weapon;3;2020-10-29T11:16:37Z
Permanent;9;Favonius Greatsword;Weapon;4;2020-10-29T11:16:37Z
Permanent;10;Thrilling Tales of Dragon Slayers;Weapon;3;2020-10-29T11:16:37Z
Permanent;11;Lion's Roar;Weapon;4;2021-01-03T20:15:53Z
Permanent;12;Slingshot;Weapon;3;2021-01-03T20:15:53Z
Permanent;13;Slingshot;Weapon;3;2021-01-03T20:15:53Z
Permanent;14;Harbinger of Dawn;Weapon;3;2021-01-03T20:15:53Z
Permanent;15;Thrilling Tales of Dragon Slayers;Weapon;3;2021-01-03T20:15:53Z
Permanent;16;Ferrous Shadow;Weapon;3;2021-01-03T20:15:53Z
Permanent;17;Skyrider Sword;Weapon;3;2021-01-03T20:15:53Z
Permanent;18;Harbinger of Dawn;Weapon;3;2021-01-03T20:15:53Z
Permanent;19;Skyrider Sword;Weapon;3;2021-01-03T20:15:53Z
Permanent;20;Debate Club;Weapon;3;2021-01-03T20:15:53Z
Permanent;21;Xingqiu;Character;4;2021-01-27T08:55:22Z
Permanent;22;Thrilling Tales of Dragon Slayers;Weapon;3;2021-01-27T08:55:22Z
Permanent;23;Harbinger of Dawn;Weapon;3;2021-01-27T08:55:22Z
Permanent;24;Skyrider Sword;Weapon;3;2021-01-27T08:55:22Z
Permanent;25;Ferrous Shadow;Weapon;3;2021-01-27T08:55:22Z
Permanent;26;Black Tassel;Weapon;3;2021-01-27T08:55:22Z
Permanent;27;Magic Guide;Weapon;3;2021-01-27T08:55:22Z
Permanent;28;Xiangling;Character;4;2021-01-27T08:55:22Z
Permanent;29;Bloodtainted Greatsword;Weapon;3;2021-01-27T08:55:22Z
Permanent;30;Cool Steel;Weapon;3;2021-01-27T08:55:22Z
Permanent;31;Bloodtainted Greatsword;Weapon;3;2021-02-26T16:52:19Z
Permanent;32;Raven Bow;Weapon;3;2021-02-26T16:52:19Z
Permanent;33;Slingshot;Weapon;3;2021-02-26T16:52:19Z
Permanent;34;Sharpshooter's Oath;Weapon;3;2021-02-26T16:52:19Z
Permanent;35;Black Tassel;Weapon;3;2021-02-26T16:52:19Z
Permanent;36;Skyrider Sword;Weapon;3;2021-02-26T16:52:19Z
Permanent;37;The Stringless;Weapon;4;2021-02-26T16:52:19Z
Permanent;38;Cool Steel;Weapon;3;2021-02-26T16:52:19Z
Permanent;39;Cool Steel;Weapon;3;2021-02-26T16:52:19Z
Permanent;40;Skyrider Sword;Weapon;3;2021-02-26T16:52:19Z
Permanent;41;Slingshot;Weapon;3;2021-02-28T01:03:53Z
Permanent;42;Slingshot;Weapon;3;2021-02-28T01:03:53Z
Permanent;43;Cool Steel;Weapon;3;2021-02-28T01:03:53Z
Permanent;44;Skyrider Sword;Weapon;3;2021-02-28T01:03:53Z
Permanent;45;Sharpshooter's Oath;Weapon;3;2021-02-28T01:03:53Z
Permanent;46;Ningguang;Character;4;2021-02-28T01:03:53Z
Permanent;47;Harbinger of Dawn;Weapon;3;2021-02-28T01:03:53Z
Permanent;48;Skyrider Sword;Weapon;3;2021-02-28T01:03:53Z
Permanent;49;Black Tassel;Weapon;3;2021-02-28T01:03:53Z
Permanent;50;Lisa;Character;4;2021-02-28T01:03:53Z
Character Event;1;Black Tassel;Weapon;3;2020-10-22T23:57:45Z
Character Event;2;Black Tassel;Weapon;3;2020-10-22T23:57:45Z
Character Event;3;Thrilling Tales of Dragon Slayers;Weapon;3;2020-10-22T23:57:45Z
Character Event;4;Sharpshooter's Oath;Weapon;3;2020-10-22T23:57:45Z
Character Event;5;Harbinger of Dawn;Weapon;3;2020-10-22T23:57:45Z
Character Event;6;Slingshot;Weapon;3;2020-10-22T23:57:45Z
Character Event;7;Slingshot;Weapon;3;2020-10-22T23:57:45Z
Character Event;8;Sharpshooter's Oath;Weapon;3;2020-10-22T23:57:45Z
Character Event;9;Sucrose;Character;4;2020-10-22T23:57:45Z
Character Event;10;Thrilling Tales of Dragon Slayers;Weapon;3;2020-10-22T23:57:45Z
Character Event;11;Thrilling Tales of Dragon Slayers;Weapon;3;2020-11-02T08:58:50Z
Character Event;12;Debate Club;Weapon;3;2020-11-02T08:58:50Z
Character Event;13;Black Tassel;Weapon;3;2020-11-02T08:58:50Z
Character Event;14;Ferrous Shadow;Weapon;3;2020-11-02T08:58:50Z
Character Event;15;Cool Steel;Weapon;3;2020-11-02T08:58:50Z
Character Event;16;Black Tassel;Weapon;3;2020-11-02T08:58:50Z
Character Event;17;Sharpshooter's Oath;Weapon;3;2020-11-02T08:58:50Z
Character Event;18;Sucrose;Character;4;2020-11-02T08:58:50Z
Character Event;19;Harbinger of Dawn;Weapon;3;2020-11-02T08:58:50Z
Character Event;20;Debate Club;Weapon;3;2020-11-02T08:58:50Z
Character Event;21;Ferrous Shadow;Weapon;3;2020-11-02T08:59:25Z
Character Event;22;Bloodtainted Greatsword;Weapon;3;2020-11-02T08:59:25Z
Character Event;23;Raven Bow;Weapon;3;2020-11-02T08:59:25Z
Character Event;24;Cool Steel;Weapon;3;2020-11-02T08:59:25Z
Character Event;25;Sharpshooter's Oath;Weapon;3;2020-11-02T08:59:25Z
Character Event;26;Emerald Orb;Weapon;3;2020-11-02T08:59:25Z
Character Event;27;Bloodtainted Greatsword;Weapon;3;2020-11-02T08:59:25Z
Character Event;28;Rust;Weapon;4;2020-11-02T08:59:25Z
Character Event;29;Harbinger of Dawn;Weapon;3;2020-11-02T08:59:25Z
Character Event;30;Bloodtainted Greatsword;Weapon;3;2020-11-02T08:59:25Z
Character Event;31;Thrilling Tales of Dragon Slayers;Weapon;3;2020-12-10T09:48:51Z
Character Event;32;Cool Steel;Weapon;3;2020-12-10T09:48:51Z
Character Event;33;Zhongli;Character;5;2020-12-10T09:48:51Z
Character Event;34;Chongyun;Character;4;2020-12-10T09:48:51Z
Character Event;35;Raven Bow;Weapon;3;2020-12-10T09:48:51Z
Character Event;36;Skyrider Sword;Weapon;3;2020-12-10T09:48:51Z
Character Event;37;Thrilling Tales of Dragon Slayers;Weapon;3;2020-12-10T09:48:51Z
Character Event;38;Thrilling Tales of Dragon Slayers;Weapon;3;2020-12-10T09:48:51Z
Character Event;39;Slingshot;Weapon;3;2020-12-10T09:48:51Z
Character Event;40;Cool Steel;Weapon;3;2020-12-10T09:48:51Z
Character Event;41;Thrilling Tales of Dragon Slayers;Weapon;3;2021-01-25T01:19:57Z
Character Event;42;Cool Steel;Weapon;3;2021-01-25T01:19:57Z
Character Event;43;Slingshot;Weapon;3;2021-01-25T01:19:57Z
Character Event;44;Chongyun;Character;4;2021-01-25T01:19:57Z
Character Event;45;Ferrous Shadow;Weapon;3;2021-01-25T01:19:57Z
Character Event;46;Cool Steel;Weapon;3;2021-01-25T01:19:57Z
Character Event;47;Sharpshooter's Oath;Weapon;3;2021-01-25T01:19:57Z
Character Event;48;Raven Bow;Weapon;3;2021-01-25T01:19:57Z
Character Event;49;Cool Steel;Weapon;3;2021-01-25T01:19:57Z
Character Event;50;Magic Guide;Weapon;3;2021-01-25T01:19:57Z
Character Event;51;Emerald Orb;Weapon;3;2021-01-25T01:20:27Z
Character Event;52;Debate Club;Weapon;3;2021-01-25T01:20:27Z
Character Event;53;Noelle;Character;4;2021-01-25T01:20:27Z
Character Event;54;Emerald Orb;Weapon;3;2021-01-25T01:20:27Z
Character Event;55;Thrilling Tales of Dragon Slayers;Weapon;3;2021-01-25T01:20:27Z
Character Event;56;Harbinger of Dawn;Weapon;3;2021-01-25T01:20:27Z
Character Event;57;Sharpshooter's Oath;Weapon;3;2021-01-25T01:20:27Z
Character Event;58;Emerald Orb;Weapon;3;2021-01-25T01:20:27Z
Character Event;59;Black Tassel;Weapon;3;2021-01-25T01:20:27Z
Character Event;60;Cool Steel;Weapon;3;2021-01-25T01:20:27Z
Character Event;61;Raven Bow;Weapon;3;2021-01-25T01:23:21Z
Character Event;62;Bloodtainted Greatsword;Weapon;3;2021-01-25T01:23:21Z
Character Event;63;Xiangling;Character;4;2021-01-25T01:23:21Z
Character Event;64;Skyrider Sword;Weapon;3;2021-01-25T01:23:21Z
Character Event;65;Black Tassel;Weapon;3;2021-01-25T01:23:21Z
Character Event;66;Magic Guide;Weapon;3;2021-01-25T01:23:21Z
Character Event;67;Harbinger of Dawn;Weapon;3;2021-01-25T01:23:21Z
Character Event;68;Magic Guide;Weapon;3;2021-01-25T01:23:21Z
Character Event;69;Sharpshooter's Oath;Weapon;3;2021-01-25T01:23:21Z
Character Event;70;Thrilling Tales of Dragon Slayers;Weapon;3;2021-01-25T01:23:21Z
Character Event;71;Cool Steel;Weapon;3;2021-01-25T01:28:50Z
Character Event;72;Noelle;Character;4;2021-01-25T01:28:50Z
Character Event;73;Cool Steel;Weapon;3;2021-01-25T01:28:50Z
Character Event;74;Slingshot;Weapon;3;2021-01-25T01:28:50Z
Character Event;75;Ferrous Shadow;Weapon;3;2021-01-25T01:28:50Z
Character Event;76;The Flute;Weapon;4;2021-01-25T01:28:50Z
Character Event;77;Cool Steel;Weapon;3;2021-01-25T01:28:50Z
Character Event;78;Skyrider Sword;Weapon;3;2021-01-25T01:28:50Z
Character Event;79;Black Tassel;Weapon;3;2021-01-25T01:28:50Z
Character Event;80;Magic Guide;Weapon;3;2021-01-25T01:28:50Z
Character Event;81;Emerald Orb;Weapon;3;2021-02-19T11:51:44Z
Character Event;82;Magic Guide;Weapon;3;2021-02-19T11:51:44Z
Character Event;83;Slingshot;Weapon;3;2021-02-19T11:51:44Z
Character Event;84;Thrilling Tales of Dragon Slayers;Weapon;3;2021-02-19T11:51:44Z
Character Event;85;Barbara;Character;4;2021-02-19T11:51:44Z
Character Event;86;Ferrous Shadow;Weapon;3;2021-02-19T11:51:44Z
Character Event;87;Thrilling Tales of Dragon Slayers;Weapon;3;2021-02-19T11:51:44Z
Character Event;88;Cool Steel;Weapon;3;2021-02-19T11:51:44Z
Character Event;89;Raven Bow;Weapon;3;2021-02-19T11:51:44Z
Character Event;90;Skyrider Sword;Weapon;3;2021-02-19T11:51:44Z
Character Event;91;Ferrous Shadow;Weapon;3;2021-03-02T20:22:36Z
Character Event;92;Bloodtainted Greatsword;Weapon;3;2021-03-02T20:22:36Z
Character Event;93;Xiangling;Character;4;2021-03-02T20:22:36Z
Character Event;94;Debate Club;Weapon;3;2021-03-02T20:22:36Z
Character Event;95;Xingqiu;Character;4;2021-03-02T20:22:36Z
Character Event;96;Debate Club;Weapon;3;2021-03-02T20:22:36Z
Character Event;97;Magic Guide;Weapon;3;2021-03-02T20:22:36Z
Character Event;98;Sharpshooter's Oath;Weapon;3;2021-03-02T20:22:36Z
Character Event;99;Thrilling Tales of Dragon Slayers;Weapon;3;2021-03-02T20:22:36Z
Character Event;100;Raven Bow;Weapon;3;2021-03-02T20:22:36Z
Character Event;101;Debate Club;Weapon;3;2021-03-02T20:23:15Z
Character Event;102;Black Tassel;Weapon;3;2021-03-02T20:23:15Z
Character Event;103;Chongyun;Character;4;2021-03-02T20:23:15Z
Character Event;104;Emerald Orb;Weapon;3;2021-03-02T20:23:15Z
Character Event;105;Skyrider Sword;Weapon;3;2021-03-02T20:23:15Z
Character Event;106;Raven Bow;Weapon;3;2021-03-02T20:23:15Z
Character Event;107;Cool Steel;Weapon;3;2021-03-02T20:23:15Z
Character Event;108;Black Tassel;Weapon;3;2021-03-02T20:23:15Z
Character Event;109;Slingshot;Weapon;3;2021-03-02T20:23:15Z
Character Event;110;The Stringless;Weapon;4;2021-03-02T20:23:15Z
Character Event;111;Cool Steel;Weapon;3;2021-03-02T20:24:08Z
Character Event;112;Hu Tao;Character;5;2021-03-02T20:24:08Z
Character Event;113;Raven Bow;Weapon;3;2021-03-02T20:24:08Z
Character Event;114;Sharpshooter's Oath;Weapon;3;2021-03-02T20:24:08Z
Character Event;115;Emerald Orb;Weapon;3;2021-03-02T20:24:08Z
Character Event;116;Emerald Orb;Weapon;3;2021-03-02T20:24:08Z
Character Event;117;Magic Guide;Weapon;3;2021-03-02T20:24:08Z
Character Event;118;Magic Guide;Weapon;3;2021-03-02T20:24:08Z
Character Event;119;Xingqiu;Character;4;2021-03-02T20:24:08Z
Character Event;120;Magic Guide;Weapon;3;2021-03-02T20:24:08Z
Weapon Event;1;Debate Club;Weapon;3;2021-03-12T12:12:51Z
Weapon Event;2;Raven Bow;Weapon;3;2021-03-12T12:12:51Z
Weapon Event;3;Lion's Roar;Weapon;4;2021-03-12T12:12:51Z
Weapon Event;4;Debate Club;Weapon;3;2021-03-12T12:12:51Z
Weapon Event;5;Sharpshooter's Oath;Weapon;3;2021-03-12T12:12:51Z
Weapon Event;6;Skyrider Sword;Weapon;3;2021-03-12T12:12:51Z
Weapon Event;7;Debate Club;Weapon;3;2021-03-12T12:12:51Z
Weapon Event;8;Lithic Spear;Weapon;4;2021-03-12T12:12:51Z
Weapon Event;9;Sharpshooter's Oath;Weapon;3;2021-03-12T12:12:51Z
Weapon Event;10;Harbinger of Dawn;Weapon;3;2021-03-12T12:12:51Z
